src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(148,102): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(149,48): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(149,68): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(149,92): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(150,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(150,60): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(150,77): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(151,32): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(151,55): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(151,65): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(152,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(152,54): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(152,65): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(153,36): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(153,56): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(153,68): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(156,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(156,60): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(156,81): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(157,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(157,67): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(157,81): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(158,36): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(158,60): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(158,72): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(159,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(159,54): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(159,65): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(160,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(160,68): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(160,87): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(161,42): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(161,72): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(161,87): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(162,42): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(162,66): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(162,81): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(163,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(163,63): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(163,77): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(164,38): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(164,63): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(164,76): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(165,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(165,64): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(165,75): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(166,32): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(166,55): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(166,65): error TS1128: Declaration or statement expected.
